,SOURCE_ID,mag_abs,v_tan,l,b,g_rp
7432,5043494647319612672,10.293197372264508,112.23548168581775,182.2803233483257,-79.7300462103433,1.160697
7444,5043507772739728896,9.107403982006904,105.25981962542104,183.61357926647304,-79.23894370227502,1.0815258
7447,5043513854413804544,9.341419510304409,144.64943392944693,183.66301844911385,-79.17336564165883,1.0961113
7456,5043522959744054656,8.85606242788538,115.33001227772901,182.5316059193543,-79.4233666726442,1.01894
7463,5043526808034749440,8.817971992607383,113.46633082779516,182.14965297565422,-79.38693011948405,1.0736523
7470,5043540655009268736,9.609998902999614,110.45511930626817,181.78732142801738,-79.90702807170992,1.1550655
7487,5043560136980919424,9.20098920239678,113.40723370708095,180.38838417423693,-79.85274713374312,1.0441589
7488,5043560343139349376,9.518238857062254,190.5364925421038,180.32273772374364,-79.84371971879447,1.0622368
7494,5043571127801601536,9.988180343946478,127.00151541678886,179.66008914274153,-79.74627739217335,1.1334705
7503,5043583226725168640,9.983562924928417,133.24200102177815,181.46834904722851,-79.23146279302524,1.1643982
7508,5043592160257094656,9.212743155336124,104.41258491683915,180.31196796284348,-79.53331937780645,1.0447273
7530,5043619648048279296,9.406852552886455,167.72332234605634,183.03543205436304,-78.73198286514918,1.0789337
7575,5043663177540305536,10.477575881339806,375.42018153014544,181.87709439542238,-78.47458484454067,0.9855957
7578,5043665926319400960,8.734850449723293,110.30485856298566,181.5693919821655,-78.42844485237694,0.96188545
7589,5043683110485007232,11.503526682529412,102.25022553273207,180.91499926891422,-78.95319801050137,1.1963673
7594,5043685683169141760,10.367711785855125,121.84534768371101,180.35652450087105,-79.03723392798209,1.0874367
7616,5043709150870511232,9.58217719895961,108.34795346433637,179.80771870885215,-78.69556310446487,1.1246147
7618,5043709945440198912,10.120828473130956,110.34260375144044,179.40729525659935,-78.71025159977296,1.158596
7619,5043711938305000960,8.97383144770659,139.90817866906963,179.03704273353372,-78.8707856779123,1.0427971
7624,5043716645589216384,9.931950640129372,178.60704007465748,180.6309264916251,-78.54413926710669,1.0686455
7626,5043719875404621184,10.252384909397321,171.89837890879465,180.4406729611949,-78.55679257296518,1.1846828
7632,5043733030888701440,9.141321160903857,101.44551812133363,179.67066022933625,-78.58764611862382,1.0727024
7635,5043734787531069184,8.511272451970836,160.02418353616184,179.7252831395245,-78.51522911320964,0.95435905
7636,5043737360215752832,9.729754304078178,215.55048227651028,179.19276388261366,-78.6046939434163,0.9933777
7639,5043739902836419584,9.744916276627265,175.15966809743875,179.15028990863675,-78.43149430809154,1.1239719
7651,5043759316088740352,8.400289948755724,113.04370157436522,179.24129994019373,-79.77815403869683,1.054081
7683,5043798280031665280,11.21528018422542,125.67673615125474,178.49006926867088,-79.1828348779006,1.12146
